id,name,url
174,Parkinsons,https://archive.ics.uci.edu/static/public/174/data.csv
176,Blood Transfusion Service Center,https://archive.ics.uci.edu/static/public/176/data.csv
183,Communities and Crime,https://archive.ics.uci.edu/static/public/183/data.csv
184,Acute Inflammations,https://archive.ics.uci.edu/static/public/184/data.csv
186,Wine Quality,https://archive.ics.uci.edu/static/public/186/data.csv
189,Parkinsons Telemonitoring,https://archive.ics.uci.edu/static/public/189/data.csv
193,Cardiotocography,https://archive.ics.uci.edu/static/public/193/data.csv
198,Steel Plates Faults,https://archive.ics.uci.edu/static/public/198/data.csv
211,Communities and Crime Unnormalized,https://archive.ics.uci.edu/static/public/211/data.csv
212,Vertebral Column,https://archive.ics.uci.edu/static/public/212/data.csv
222,Bank Marketing,https://archive.ics.uci.edu/static/public/222/data.csv
225,ILPD (Indian Liver Patient Dataset),https://archive.ics.uci.edu/static/public/225/data.csv
229,Skin Segmentation,https://archive.ics.uci.edu/static/public/229/data.csv
235,Individual Household Electric Power Consumption,https://archive.ics.uci.edu/static/public/235/data.csv
242,Energy Efficiency,https://archive.ics.uci.edu/static/public/242/data.csv
244,Fertility,https://archive.ics.uci.edu/static/public/244/data.csv
247,ISTANBUL STOCK EXCHANGE,https://archive.ics.uci.edu/static/public/247/data.csv
257,User Knowledge Modeling,https://archive.ics.uci.edu/static/public/257/data.csv
264,EEG Eye State,https://archive.ics.uci.edu/static/public/264/data.csv
267,Banknote Authentication,https://archive.ics.uci.edu/static/public/267/data.csv
270,Gas Sensor Array Drift at Different Concentrations,https://archive.ics.uci.edu/static/public/270/data.csv
275,Bike Sharing,https://archive.ics.uci.edu/static/public/275/data.csv
277,Thoracic Surgery Data,https://archive.ics.uci.edu/static/public/277/data.csv
291,Airfoil Self-Noise,https://archive.ics.uci.edu/static/public/291/data.csv
292,Wholesale customers,https://archive.ics.uci.edu/static/public/292/data.csv
294,Combined Cycle Power Plant,https://archive.ics.uci.edu/static/public/294/data.csv
296,Diabetes 130-US Hospitals for Years 1999-2008,https://archive.ics.uci.edu/static/public/296/data.csv
300,Tennis Major Tournament Match Statistics,https://archive.ics.uci.edu/static/public/300/data.csv
312,Dow Jones Index,https://archive.ics.uci.edu/static/public/312/data.csv
320,Student Performance,https://archive.ics.uci.edu/static/public/320/data.csv
327,Phishing Websites,https://archive.ics.uci.edu/static/public/327/data.csv
329,Diabetic Retinopathy Debrecen,https://archive.ics.uci.edu/static/public/329/data.csv
332,Online News Popularity,https://archive.ics.uci.edu/static/public/332/data.csv
